abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['Stefan Decker', 'Oya Beyan', 'Mamtaz Uddin', 'Joao Bosco Jares', 'Michael Cochez', 'Md. Rezaul Karim']",10.1145/3307339.3342161,https://dl.acm.org/doi/pdf/10.1145/3307339.3342161,9,2019,Drug-Drug Interaction Prediction Based on Knowledge Graph Embeddings and Convolutional-LSTM Network,"Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics","([],)",,Bioinformatics
,"['Yadollah Omidi', 'Reza Safdari', 'Reza Ferdousi']",10.1016/j.jbi.2017.04.021,https://doi.org/10.1016/j.jbi.2017.04.021,6,2017,Computational prediction of drug-drug interactions based on drugs functional similarities,Journal of Biomedical Informatics,"(['Health Informatics', 'Computer Science Applications'],)",,Bioinformatics
"Drug interactions, including drug–drug interactions (DDIs) and drug–food constituent interactions (DFIs), can trigger unexpected pharmacological effects, including adverse drug events (ADEs), with causal mechanisms often unknown. Several computational methods have been developed to better understand drug interactions, especially for DDIs. However, these methods do not provide sufficient details beyond the chance of DDI occurrence, or require detailed drug information often unavailable for DDI prediction. Here, we report development of a computational framework DeepDDI that uses names of drug–drug or drug–food constituent pairs and their structural information as inputs to accurately generate 86 important DDI types as outputs of human-readable sentences. DeepDDI uses deep neural network with its optimized prediction performance and predicts 86 DDI types with a mean accuracy of 92.4% using the DrugBank gold standard DDI dataset covering 192,284 DDIs contributed by 191,878 drug pairs. DeepDDI is used to suggest potential causal mechanisms for the reported ADEs of 9,284 drug pairs, and also predict alternative drug candidates for 62,707 drug pairs having negative health effects. Furthermore, DeepDDI is applied to 3,288,157 drug–food constituent pairs (2,159 approved drugs and 1,523 well-characterized food constituents) to predict DFIs. The effects of 256 food constituents on pharmacological effects of interacting drugs and bioactivities of 149 food constituents are predicted. These results suggest that DeepDDI can provide important information on drug prescription and even dietary suggestions while taking certain drugs and also guidelines during drug development.","['Sang Yup Lee', 'Hyun Uk Kim', 'Jae Yong Ryu']",10.1073/pnas.1803294115,https://doi.org/10.1073/pnas.1803294115,4,2018,Deep learning improves prediction of drug–drug and drug–food interactions,Proceedings of the National Academy of Sciences of the United States of America,"(['Multidisciplinary'],)",,Bioinformatics
"An interaction between pharmacological agents can trigger unexpected adverse events. Capturing richer and more comprehensive information about drug–drug interactions (DDIs) is one of the key tasks in public health and drug development. Recently, several knowledge graph (KG) embedding approaches have received increasing attention in the DDI domain due to their capability of projecting drugs and interactions into a low-dimensional feature space for predicting links and classifying triplets. However, existing methods only apply a uniformly random mode to construct negative samples. As a consequence, these samples are often too simplistic to train an effective model. In this paper, we propose a new KG embedding framework by introducing adversarial autoencoders (AAEs) based on Wasserstein distances and Gumbel-Softmax relaxation for DDI tasks. In our framework, the autoencoder is employed to generate high-quality negative samples and the hidden vector of the autoencoder is regarded as a plausible drug candidate. Afterwards, the discriminator learns the embeddings of drugs and interactions based on both positive and negative triplets. Meanwhile, in order to solve vanishing gradient problems on the discrete representation—an inherent flaw in traditional generative models—we utilize the Gumbel-Softmax relaxation and the Wasserstein distance to train the embedding model steadily. We empirically evaluate our method on two tasks: link prediction and DDI classification. The experimental results show that our framework can attain significant improvements and noticeably outperform competitive baselines. Supplementary information: Supplementary data and code are available at https://github.com/dyf0631/AAE_FOR_KG.","['Carsten Eickhoff', 'Wenzhong Guo', 'Chenhao Guo', 'Yuanfei Dai']",10.1093/bib/bbaa256,https://pubmed.ncbi.nlm.nih.gov/33126246/,10,2020,Drug–drug interaction prediction with Wasserstein Adversarial Autoencoder-based knowledge graph embeddings,Briefings in Bioinformatics,"(['Molecular Biology', 'Information Systems'],)",,Bioinformatics
"Coronavirus disease 2019 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The viral outbreak started in late 2019 and rapidly became a serious health threat to the global population. COVID-19 was declared a pandemic by the World Health Organization in March 2020. Several therapeutic options have been adopted to prevent the spread of the virus. Although vaccines have been developed, antivirals are still needed to combat the infection of this virus. SARS-CoV-2 is an enveloped virus, and its genome encodes polyproteins that can be processed into structural and nonstructural proteins. Maturation of viral proteins requires cleavages by proteases. Therefore, the main protease (3 chymotrypsin-like protease (3CLpro) or Mpro) encoded by the viral genome is an attractive drug target because it plays an important role in cleaving viral polyproteins into functional proteins. Inhibiting this enzyme is an efficient strategy to block viral replication. Structural studies provide valuable insight into the function of this protease and structural basis for rational inhibitor design. In this review, we describe structural studies on the main protease of SARS-CoV-2. The strategies applied in developing inhibitors of the main protease of SARS-CoV-2 and currently available protein inhibitors are summarized. Due to the availability of high-resolution structures, structure-guided drug design will play an important role in developing antivirals. The availability of high-resolution structures, potent peptidic inhibitors, and diverse compound scaffolds indicate the feasibility of developing potent protease inhibitors as antivirals for COVID-19.","['CongBao Kang', 'Qingxin Li']",10.3390/microorganisms8081250,http://dx.doi.org/10.3390/microorganisms8081250,8,2020,Progress in Developing Inhibitors of SARS-CoV-2 3C-Like Protease,Microorganisms,"(['Virology', 'Microbiology (medical)', 'Microbiology'],)",,Bioinformatics
,"['Ling-Ling Chen', 'Mubarak A. Alamri', 'Safar M. Alqahtani', 'Muhammad Tahir ul Qamar']",10.1016/j.jpha.2020.03.009,http://dx.doi.org/10.1016/j.jpha.2020.03.009,8,2020,Structural basis of SARS-CoV-2 3CLpro and anti-COVID-19 drug discovery from medicinal plants,Journal of Pharmaceutical Analysis,"(['Analytical Chemistry', 'Electrochemistry', 'Spectroscopy', 'Drug Discovery', 'Pharmaceutical Science', 'Pharmacy'],)",,Bioinformatics
"Leukemia is a fatal cancer and has two main types: Acute and chronic. Each type has two more subtypes: Lymphoid and myeloid. Hence, in total, there are four subtypes of leukemia. This study proposes a new approach for diagnosis of all subtypes of leukemia from microscopic blood cell images using convolutional neural networks (CNN), which requires a large training data set. Therefore, we also investigated the effects of data augmentation for an increasing number of training samples synthetically. We used two publicly available leukemia data sources: ALL-IDB and ASH Image Bank. Next, we applied seven different image transformation techniques as data augmentation. We designed a CNN architecture capable of recognizing all subtypes of leukemia. Besides, we also explored other well-known machine learning algorithms such as naive Bayes, support vector machine, k-nearest neighbor, and decision tree. To evaluate our approach, we set up a set of experiments and used 5-fold cross-validation. The results we obtained from experiments showed that our CNN model performance has 88.25% and 81.74% accuracy, in leukemia versus healthy and multiclass classification of all subtypes, respectively. Finally, we also showed that the CNN model has a better performance than other wellknown machine learning algorithms.","['Alpkocak', 'Isik', 'Yigit', 'Ahmed']",10.3390/diagnostics9030104,http://dx.doi.org/10.3390/diagnostics9030104,8,2019,Identification of Leukemia Subtypes from Microscopic Images Using Convolutional Neural Network,Diagnostics,"(['Clinical Biochemistry'],)",,Bioinformatics
"Although automated Acute Lymphoblastic Leukemia (ALL) detection is essential, it is challenging due to the morphological correlation between malignant and normal cells. The traditional ALL classification strategy is arduous, time-consuming, often suffers inter-observer variations, and necessitates experienced pathologists. This article has automated the ALL detection task, employing deep Convolutional Neural Networks (CNNs). We explore the weighted ensemble of deep CNNs to recommend a better ALL cell classifier. The weights are estimated from ensemble candidates' corresponding metrics, such as accuracy, F1-score, AUC, and kappa values. Various data augmentations and pre-processing are incorporated for achieving a better generalization of the network. We train and evaluate the proposed model utilizing the publicly available C-NMC-2019 ALL dataset. Our proposed weighted ensemble model has outputted a weighted F1-score of 88.6%, a balanced accuracy of 86.2%, and an AUC of 0.941 in the preliminary test set. The qualitative results displaying the gradient class activation maps confirm that the introduced model has a concentrated learned region. In contrast, the ensemble candidate models, such as Xception, VGG-16, DenseNet-121, MobileNet, and InceptionResNet-V2, separately produce coarse and scatter learned areas for most example cases. Since the proposed ensemble yields a better result for the aimed task, it can experiment in other domains of medical diagnostic applications.","['Mohammad Ali Moni', 'Salem A. Alyami', 'Mohiuddin Ahmad', 'Md. Abdul Awal', 'Md. Rabiul Islam', 'Aishwariya Dutta', 'Md. Tasnim Jawad', 'Md. Kamrul Hasan', 'Chayan Mondal']",10.20944/preprints202105.0429.v1,http://dx.doi.org/10.20944/preprints202105.0429.v1,5,2021,Acute Lymphoblastic Leukemia Detection from Microscopic Images Using Weighted Ensemble of Convolutional Neural Networks,[],"([],)",,Bioinformatics
,Kuang and He,10.1109/ccbd.2014.42,https://dl.acm.org/doi/10.1109/CCBD.2014.42,11,2014,Clinical data Neuroimage data,2014 International Conference on Cloud Computing and Big Data,,,Bioinformatics
,"['Lianghua He', 'Yilu Zhao', 'Xiu An', 'Xiaojiao Guo', 'Deping Kuang']",10.1007/978-3-319-09330-7_27,http://dx.doi.org/10.1007/978-3-319-09330-7_27,0,2014,Discrimination of ADHD Based on fMRI Data with Deep Belief Network,Intelligent Computing in Bioinformatics,"([],)",,Bioinformatics
,"['Vince Calhoun', 'Erik Erhardt', 'Sergey Plis', 'Alvaro Ulloa']",10.1109/mlsp.2015.7324379,http://dx.doi.org/10.1109/mlsp.2015.7324379,9,2015,Synthetic structural magnetic resonance image generator improves deep learning prediction of schizophrenia,2015 IEEE 25th International Workshop on Machine Learning for Signal Processing (MLSP),"([],)",,Bioinformatics
,"['João R. Sato', 'Rodrigo A. Bressan', 'Andrea P. Jackowski', 'Quirino Cordeiro', 'André Zugman', 'Cristiano Noto', 'Orla M. Doyle', 'Ary Gadelha', 'Walter H. L. Pinaya']",10.1038/srep38897,http://dx.doi.org/10.1038/srep38897,12,2016,Using deep belief network modelling to characterize differences in brain morphometry in schizophrenia,Scientific Reports,"(['Multidisciplinary'],)",,Bioinformatics
,"['Ilnaz Rastkhadive', 'Sahar Kianian', 'Saeed Farzi']",10.1109/iscbi.2017.8053552,http://dx.doi.org/10.1109/iscbi.2017.8053552,8,2017,Diagnosis of attention deficit hyperactivity disorder using deep belief network based on greedy approach,2017 5th International Symposium on Computational and Business Intelligence (ISCBI),"([],)",,Bioinformatics
,"['Martin J. McKeown', 'Jiannan Zheng', 'Liang Zou']",10.1109/globalsip.2017.8309103,http://dx.doi.org/10.1109/globalsip.2017.8309103,11,2017,Deep learning based automatic diagnoses of attention deficit hyperactive disorder,2017 IEEE Global Conference on Signal and Information Processing (GlobalSIP),"([],)",,Bioinformatics
,"['Jun-Hai XU', 'Xiang-Fei GENG']",10.12783/dtcse/csma2017/17335,http://dx.doi.org/10.12783/dtcse/csma2017/17335,12,2017,Application of Autoencoder in Depression Diagnosis,DEStech Transactions on Computer Science and Engineering,"([],)",,Bioinformatics
,"['Z. Jane Wang', 'Martin J. Mckeown', 'Chunyan Miao', 'Jiannan Zheng', 'Liang Zou']",10.1109/access.2017.2762703,http://dx.doi.org/10.1109/access.2017.2762703,0,2017,3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,IEEE Access,"(['General Engineering', 'General Materials Science', 'General Computer Science'],)",,Bioinformatics
,"['Matthew R. G. Brown', 'Russell Greiner', 'Neil C. Borle', 'Bhaskar Sen']",10.1371/journal.pone.0194856,http://dx.doi.org/10.1371/journal.pone.0194856,4,2018,A general prediction model for the detection of ADHD and Autism using structural and functional MRI,PLOS ONE,"(['Multidisciplinary'],)",,Bioinformatics
,"['Mir Mohsen Pedram', 'Arash Sharifi', 'Maryam Akhavan Aghdam']",10.1007/s10278-018-0093-8,http://dx.doi.org/10.1007/s10278-018-0093-8,5,2018,Combination of rs-fMRI and sMRI Data to Discriminate Autism Spectrum Disorders in Young Children Using Deep Belief Network,Journal of Digital Imaging,"(['Computer Science Applications', 'Radiology Nuclear Medicine and imaging', 'Radiological and Ultrasound Technology'],)",,Bioinformatics
,"['Kuniaki Uehara', 'Tetsuo Tashiro', 'Takashi Matsubara']",10.1109/tbme.2019.2895663,http://dx.doi.org/10.1109/tbme.2019.2895663,10,2019,Deep Neural Generative Model of Functional MRI Images for Psychiatric Disorder Diagnosis,IEEE Transactions on Biomedical Engineering,"(['Biomedical Engineering'],)",,Bioinformatics
,"['João R. Sato', 'Andrea Mechelli', 'Walter H. L. Pinaya']",10.1002/hbm.24423,http://dx.doi.org/10.1002/hbm.24423,10,2018,Using deep autoencoders to identify abnormal brain structural patterns in neuropsychiatric disorders: A large‐scale multi‐sample study,Human Brain Mapping,"(['Clinical Neurology', 'Neurology', 'Radiology Nuclear Medicine and imaging', 'Radiological and Ultrasound Technology', 'Anatomy'],)",,Bioinformatics
,"['Krzysztof J. Gorgolewski', 'Russell A. Poldrack', 'Joke Durnez', 'Jessey Wright', 'Satrajit S. Ghosh', 'Hiroyuki Oya', 'Madeleine Snyder', 'Elizabeth DuPre', 'Mathias Goncalves', 'James D. Kent', 'Asier Erramuzpe', 'A. Ilkay Isik', 'Craig A. Moodie', 'Ross W. Blair', 'Christopher J. Markiewicz', 'Oscar Esteban']",10.1038/s41592-018-0235-4,http://dx.doi.org/10.1038/s41592-018-0235-4,12,2018,fMRIPrep: a robust preprocessing pipeline for functional MRI,Nature Methods,"(['Cell Biology', 'Molecular Biology', 'Biochemistry', 'Biotechnology'],)",,Bioinformatics
,"['D. P Subha', 'Hojjat Adeli', 'Jen Hong Tan', 'Yuki Hagiwara', 'Shu Lih Oh', 'U. Rajendra Acharya']",10.1016/j.cmpb.2018.04.012,http://dx.doi.org/10.1016/j.cmpb.2018.04.012,7,2018,Automated EEG-based screening of depression using deep convolutional neural network,Computer Methods and Programs in Biomedicine,"(['Health Informatics', 'Computer Science Applications', 'Software'],)",,Bioinformatics
,"['Junfeng Chen', 'Weihang Zhang', 'Xue Wang', 'Pengbo Zhang']",10.1109/tnsre.2018.2884641,http://dx.doi.org/10.1109/tnsre.2018.2884641,1,2019,Learning Spatial–Spectral–Temporal EEG Features With Recurrent 3D Convolutional Neural Networks for Cross-Task Mental Workload Assessment,IEEE Transactions on Neural Systems and Rehabilitation Engineering,"(['Biomedical Engineering', 'General Neuroscience', 'Internal Medicine', 'Rehabilitation'],)",,Bioinformatics
,"['Jing Zhu', 'Shuting Sun', 'Shuai Zeng', 'Junhong Niu', 'Ying Wang', 'Rong La', 'Xiaowei Li']",10.1007/s11517-019-01959-2,http://dx.doi.org/10.1007/s11517-019-01959-2,2,2019,EEG-based mild depression recognition using convolutional neural network,Medical & Biological Engineering & Computing,"(['Computer Science Applications', 'Biomedical Engineering'],)",,Bioinformatics
,"['Svetha Venkatesh', 'Dinh Phung', 'Truyen Tran', 'Trang Pham']",10.1016/j.jbi.2017.04.001,http://dx.doi.org/10.1016/j.jbi.2017.04.001,5,2017,Predicting healthcare trajectories from medical records: A deep learning approach,Journal of Biomedical Informatics,"(['Health Informatics', 'Computer Science Applications'],)",,Bioinformatics
,"['John Strauss', 'James L Kennedy', 'Anvesh Roy', 'Vincenzo de Luca', 'Pamela Wilansky', 'Joseph Geraci']",10.1136/eb-2017-102688,http://dx.doi.org/10.1136/eb-2017-102688,7,2017,Applying deep neural networks to unstructured text notes in electronic medical records for phenotyping youth depression,Evidence Based Mental Health,"(['Psychiatry and Mental health'],)",,Bioinformatics
,"['Ramakanth Kavuluru', 'Anthony Rios']",10.1016/j.jbi.2017.05.008,http://dx.doi.org/10.1016/j.jbi.2017.05.008,11,2017,Ordinal convolutional neural networks for predicting RDoC positive valence psychiatric symptom severity scores,Journal of Biomedical Informatics,"(['Health Informatics', 'Computer Science Applications'],)",,Bioinformatics
,"['Ramakanth Kavuluru', 'Tung Tran']",10.1016/j.jbi.2017.06.010,http://dx.doi.org/10.1016/j.jbi.2017.06.010,11,2017,Predicting mental conditions based on “history of present illness” in psychiatric notes with deep neural networks,Journal of Biomedical Informatics,"(['Health Informatics', 'Computer Science Applications'],)",,Bioinformatics
,"['Deok Won Kim', 'Jong-Uk Won', 'Jin-Ha Yoon', 'Wanhyung Lee', 'Soo Beom Choi']",10.1016/j.jad.2018.01.019,http://dx.doi.org/10.1016/j.jad.2018.01.019,4,2018,Ten-year prediction of suicide death using Cox regression and machine learning in a nationwide retrospective cohort study in South Korea,Journal of Affective Disorders,"(['Psychiatry and Mental health', 'Clinical Psychology'],)",,Bioinformatics
,"['Shih-Jen Tsai', 'Albert C. Yang', 'Younger W.-Y. Yu', 'Yu-Li Liu', 'Po-Hsiu Kuo', 'Eugene Lin']",10.3389/fpsyt.2018.00290,http://dx.doi.org/10.3389/fpsyt.2018.00290,7,2018,A Deep Learning Approach for Predicting Antidepressant Response in Major Depression Using Clinical and Genetic Biomarkers,Frontiers in Psychiatry,"(['Psychiatry and Mental health'],)",,Bioinformatics
,"['Jitendra Jonnagaddala', 'Hong-Jie Dai']",10.1371/journal.pone.0204493,http://dx.doi.org/10.1371/journal.pone.0204493,10,2018,Assessing the severity of positive valence symptoms in initial psychiatric evaluation records: Should we use convolutional neural networks?,PLOS ONE,"(['Multidisciplinary'],)",,Bioinformatics
,"['Xiaolin Li', 'Vivek Viswanath', 'Rajendra Rana Bhat', 'Sundaram Laksshman']",10.1002/humu.23272,http://dx.doi.org/10.1002/humu.23272,8,2017,DeepBipolar: Identifying genomic mutations for bipolar disorder via deep learning,Human Mutation,"(['Genetics(clinical)', 'Genetics'],)",,Bioinformatics
,"['Kai Wang', 'Atlas Khan']",10.1109/bibm.2017.8217916,http://dx.doi.org/10.1109/bibm.2017.8217916,11,2017,A deep learning based scoring system for prioritizing susceptibility variants for mental disorders,2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"([],)",,Bioinformatics
,"['Kumar Sudesh', 'Tran Thi Loan', 'Dam Ngoc My', 'Doan Van Thuoc']",10.1016/j.ijbiomac.2019.09.063,https://doi.org/10.1016/j.ijbiomac.2019.09.063Get,12,2019,Utilization of waste fish oil and glycerol as carbon sources for polyhydroxyalkanoate production by Salinivibrio sp. M318,International Journal of Biological Macromolecules,"(['Molecular Biology', 'General Medicine', 'Biochemistry', 'Structural Biology'],)",,Biotechnology
,"['Sandhya Mishra', 'Bharti P. Dave', 'Jwalant K. Bhatt', 'Imran Pancha', 'Hiral B. Trivedi', 'Sonam Dubey', 'Jaykishan H. Dhangdhariya']",10.1016/j.ijbiomac.2015.02.009,https://doi.org/10.1016/j.ijbiomac.2015.02.009,5,2015,Polyhydroxyalkanoate from marine Bacillus megaterium using CSMCRI's Dry Sea Mix as a novel growth medium,International Journal of Biological Macromolecules,"(['Molecular Biology', 'General Medicine', 'Biochemistry', 'Structural Biology'],)",,Biotechnology
,"['Javier Gómez-León', 'Marisol Santos-Acevedo', 'Laura M. Jutinico-Shubach', 'Manuela Montoya-Giraldo', 'Marynes Quintero', 'Eylin Jiménez-Vergara', 'Albert D. Patiño', 'Katleen L. Alvarado-Campo', 'Lina Blandón']",10.1007/s10924-020-01770-3,https://doi.org/10.1007/s10924-020-01770-3,6,2020,Polyhydroxyalkanoate Production from Two Species of Marine Bacteria: A Comparative Study,Journal of Polymers and the Environment,"(['Materials Chemistry', 'Polymers and Plastics', 'Environmental Engineering'],)",,Biotechnology
,"['Victor  Ntuli', 'Norman Muzhinji']",10.1080/21645698.2020.1794489,https://doi.org/10.1080/21645698.2020.1794489,0,0,Genetically modified organisms and food security in Southern Africa: conundrum and discourse,GM CROPS & FOOD,"(['General Medicine'],)",,Biotechnology
,"['Alejandro Chaparro-Giraldo', 'Silvio Alejandro López-Pazos', 'Adriana Castaño Hernández', 'Julián Mora-Oberlaender']",10.1016/bs.abr.2017.11.005,http://dx.doi.org/10.1016/bs.abr.2017.11.005,0,2018,Genetic Engineering of Crop Plants: Colombia as a Case Study,Transgenic Plants and Beyond,"([],)",,Biotechnology
,Christoph Bleidorn,10.1007/978-3-319-54064-1_3,http://dx.doi.org/10.1007/978-3-319-54064-1_3,0,2017,Sequencing Techniques,['Phylogenomics'],"([],)",,Biotechnology
,Elaine R Mardis,10.1038/nprot.2016.182,http://dx.doi.org/10.1038/nprot.2016.182,1,2017,DNA sequencing technologies: 2006–2016,['Nature Protocols'],"(['General Biochemistry, Genetics and Molecular Biology'],)",,Biotechnology
,,,,9,2018,Anastasis: recovery from the brink of cell death,,,,Systems Biology
,Abolaji Samson Olagunju,10.17140/CSMMOJ-6-131,https://www.semanticscholar.org/paper/2bd7c7e10af04dd02f4c3c406df3daf519c86f7d,9,2020,Anastasis: Cell Survival Mechanism,Cancer studies and molecular medicine ,,['Chemistry'],Systems Biology
"<ns4:p>Metabolic pathways are an important part of systems biology research since they illustrate complex interactions between metabolites, enzymes, and regulators. Pathway maps are drawn to elucidate metabolism or to set data in a metabolic context. We present MetaboMAPS, a web-based platform to visualize numerical data on individual metabolic pathway maps. Metabolic maps can be stored, distributed and downloaded in SVG-format. MetaboMAPS was designed for users without computational background and supports pathway sharing without strict conventions. In addition to existing applications that established standards for well-studied pathways, MetaboMAPS offers a niche for individual, customized pathways beyond common knowledge, supporting ongoing research by creating publication-ready visualizations of experimental data.</ns4:p>","['Meina Neumann-Schaal', 'Dietmar Schomburg', 'Julia Helmecke']",10.12688/f1000research.23427.2,http://dx.doi.org/10.12688/f1000research.23427.2,7,2020,MetaboMAPS: Pathway sharing and multi-omics data visualization in metabolic context,F1000Research,"(['General Pharmacology, Toxicology and Pharmaceutics', 'General Immunology and Microbiology', 'General Biochemistry, Genetics and Molecular Biology', 'General Medicine'],)",,Systems Biology
,"['Filipa A.C. Soares', 'Amit Chandra', 'David J. Williams', 'Ludovic Vallier', 'Roger A. Pedersen', 'Robert J. Thomas']",10.1016/j.jbiotec.2013.12.009,http://dx.doi.org/10.1016/j.jbiotec.2013.12.009,3,2014,Investigating the feasibility of scale up and automation of human induced pluripotent stem cells cultured in aggregates in feeder free conditions,['Journal of Biotechnology'],"(['Applied Microbiology and Biotechnology', 'General Medicine', 'Biotechnology', 'Bioengineering'],)",,Systems Biology
,,,,0,0,dfasdf,,,,Physical Sciences & Mathematics
,Donald Duck,,,1,2000,Deleted,,,,Physical Sciences & Mathematics
,"['Ryuji Tada', 'Tomohisa Irino']",10.1594/pangaea.726855,,0,2009,"Chemical and mineral compositions of sediments from ODP Site 127-797, supplement to: Irino, Tomohisa; Tada, Ryuji (2000): Quantification of aeolian dust (Kosa) contribution to the Japan Sea sediments and its variation during the last 200 ky. Geochemical Journal, 34(1), 59-93",,,,Physical Sciences & Mathematics
,,,,0,0,Fragmentation as an aggregation process,,,,Physical Sciences & Mathematics
,"['Rainer Schrader', 'Jens Dörpinghaus']",10.1007/978-3-030-22723-4_4,http://dx.doi.org/10.1007/978-3-030-22723-4_4,6,2019,Solving Sorting of Rolling Stock Problems Utilizing Pseudochain Structures in Graphs,"['Recent Advances in Computational Optimization', 'Studies in Computational Intelligence']","([],)",,Applied Mathematics
,"['François-Xavier Le\xa0Dimet', 'Arthur Vidard', 'Hans E. Ngodock', 'Innocent Souopgui']",10.1007/s00245-015-9315-3,http://dx.doi.org/10.1007/s00245-015-9315-3,9,2015,Incremental projection approach of regularization for inverse problems,Applied Mathematics & Optimization,"(['Applied Mathematics', 'Control and Optimization'],)",,Control Theory
,"['H. E. Ngodock', 'I. Souopgui', 'F.-X. Le\xa0Dimet']",10.1002/fld.4274,http://dx.doi.org/10.1002/fld.4274,7,2016,Sensitivity analysis applied to a variational data assimilation of a simulated pollution transport problem: SENSITIVITY ANALYSIS IN VARIATIONAL DATA ASSIMILATION PROBLEM,International Journal for Numerical Methods in Fluids,"(['Applied Mathematics', 'Computer Science Applications', 'Mechanical Engineering', 'Mechanics of Materials', 'Computational Mechanics'],)",,Control Theory
,Christian Blum,,,0,2010,Iterative Beam Search for Simple Assembly Line Balancing with a Fixed Number of Work Stations,CoRR,,,Numerical Analysis and Computation
,"['Marcus Ritt', 'Leonardo Borba']",,,0,2013,Exact and Heuristic Methods for the Assembly Line Worker Assignment and Balancing Problem,CoRR,,,Numerical Analysis and Computation
,"['Marcus Ritt', 'Leonardo Borba']",,,0,2013,Exact and Heuristic Methods for the Assembly Line Worker Assignment and Balancing Problem,CoRR,,,Numerical Analysis and Computation
,"['Humberto J. Longo', 'Les Foulds', 'Carlos Alexandre X. Silva']",,,6,2019,Assembly line balancing with task division,arXiv.org,,,Numerical Analysis and Computation
,"['Alysson M. Costa', 'Marcus Ritt']",10.1111/itor.12206,http://dx.doi.org/10.1111/itor.12206,8,2015,Improved integer programming models for simple assembly line balancing and related problems,arXiv.org,"(['Management of Technology and Innovation', 'Management Science and Operations Research', 'Strategy and Management', 'Computer Science Applications', 'Business and International Management'],)",,Numerical Analysis and Computation
,"['Antonio A. Chaves', 'Alysson M. Costa', 'Marcus Ritt', 'Mayron César O. Moreira']",10.1007/s10732-012-9195-5,http://dx.doi.org/10.1007/s10732-012-9195-5,6,2012,Simple heuristics for the assembly line worker assignment and balancing problem,arXiv.org,"(['Artificial Intelligence', 'Management Science and Operations Research', 'Control and Optimization', 'Computer Networks and Communications', 'Information Systems', 'Software'],)",,Numerical Analysis and Computation
,"['Fernando Buarque de Lima Neto', 'Isabela Maria Carneiro de Albuquerque', 'Joao Batista Monteiro FIlho']",,,7,2017,Solving Mixed Model Workplace Time-dependent Assembly Line Balancing Problem with FSS Algorithm,arXiv.org,,,Numerical Analysis and Computation
,"['P. Kollmann', 'S.M. Krimigis', 'E. Roussos', 'C. Paranicas', 'K.K. Khurana', 'A. Rymer', 'G.H. Jones', 'C.S. Arridge', 'T.P. Armstrong', 'N. Krupp', 'D.G. Mitchell']",10.1016/j.icarus.2011.12.018,http://dx.doi.org/10.1016/j.icarus.2011.12.018,3,2012,The Cassini Enceladus encounters 2005–2010 in the view of energetic electron measurements,['Icarus'],"(['Space and Planetary Science', 'Astronomy and Astrophysics'],)",,The Sun and the Solar System
,"['R.-D. Scholz', 'S. Röser', 'E. Schilbach', 'A. E. Piskunov', 'N. V. Kharchenko']",10.1051/0004-6361/201118708,http://dx.doi.org/10.1051/0004-6361/201118708,7,2012,Global survey of star clusters in the Milky Way: I. The pipeline and fundamental parameters in the second quadrant⋆⋆⋆,Astronomy & Astrophysics,"(['Space and Planetary Science', 'Astronomy and Astrophysics'],)",,"Stars, Interstellar Medium and the Galaxy"
,"['Gang Wu', 'Alan Wong']",10.1021/ja0302174,http://dx.doi.org/10.1021/ja0302174,11,2003,Selective Binding of Monovalent Cations to the Stacking G-Quartet Structure Formed by Guanosine 5‘-Monophosphate:  A Solid-State NMR Study,Journal of the American Chemical Society,"(['Colloid and Surface Chemistry', 'Biochemistry', 'General Chemistry', 'Catalysis'],)",,Chemistry
<p>The desolvation and size of monovalent alkali metal ions are of equal importance for the cation affinity of guanine quadruplexes.</p>,"['C. Fonseca Guerra', 'G. Paragi', 'F. Zaccaria']",10.1039/c6cp01030j,http://dx.doi.org/10.1039/c6cp01030j,0,2016,The role of alkali metal cations in the stabilization of guanine quadruplexes: why K+ is the best,Physical Chemistry Chemical Physics,"(['Physical and Theoretical Chemistry', 'General Physics and Astronomy'],)",,Chemistry
,"['Juli Feigon', 'Frank A. L. Anet', 'Flint W. Smith', 'Nicholas V. Hud']",10.1021/bi9620565,http://dx.doi.org/10.1021/bi9620565,1,1996,The Selectivity for K+versus Na+in DNA Quadruplexes Is Dominated by Relative Free Energies of Hydration:  A Thermodynamic Analysis by1H NMR†,Biochemistry,"(['Biochemistry'],)",,Chemistry
<p>The desolvation and size of monovalent alkali metal ions are of equal importance for the cation affinity of guanine quadruplexes.</p>,"['C. Fonseca Guerra', 'G. Paragi', 'F. Zaccaria']",10.1039/c6cp01030j,http://dx.doi.org/10.1039/c6cp01030j,0,2016,The role of alkali metal cations in the stabilization of guanine quadruplexes: why K+ is the best,Physical Chemistry Chemical Physics,"(['Physical and Theoretical Chemistry', 'General Physics and Astronomy'],)",,Chemistry
